"Id","days_recorded","days_worn","full_day_wear_share","mean_steps_worn","logs_sleep","logs_weight","activity_level"
1503960366,30,30,0.166666666666667,12520.6333333333,TRUE,TRUE,"10,000+"
1624580081,30,30,1,5836.33333333333,FALSE,FALSE,"5,000-7,499"
1644430081,30,30,0.8,7282.96666666667,TRUE,FALSE,"5,000-7,499"
1844505072,30,21,0.533333333333333,3808.66666666667,TRUE,FALSE,"Under 5,000"
1927972279,30,17,0.333333333333333,1670.58823529412,TRUE,TRUE,"Under 5,000"
2022484408,30,30,1,11445.7666666667,FALSE,FALSE,"10,000+"
2026352035,30,30,0,5456.06666666667,TRUE,FALSE,"5,000-7,499"
2320127002,30,30,0.966666666666667,4785.4,TRUE,FALSE,"Under 5,000"
2347167796,18,18,0,9519.66666666667,TRUE,FALSE,"7,500-9,999"
2873212765,30,30,1,7555.43333333333,FALSE,TRUE,"7,500-9,999"
3372868164,20,20,0.95,6861.65,FALSE,FALSE,"5,000-7,499"
3977333714,30,30,0.0333333333333333,10984.5666666667,TRUE,FALSE,"10,000+"
4020332650,30,16,0.2,4355.875,TRUE,FALSE,"Under 5,000"
4057192912,4,3,0.5,5117.33333333333,FALSE,FALSE,"5,000-7,499"
4319703577,30,30,0.0666666666666667,7510.56666666667,TRUE,TRUE,"7,500-9,999"
4388161847,30,30,0.133333333333333,11062.1,TRUE,FALSE,"10,000+"
4445114986,30,30,0.1,4930.83333333333,TRUE,FALSE,"Under 5,000"
4558609924,30,30,0.733333333333333,7731.06666666667,TRUE,TRUE,"7,500-9,999"
4702921684,30,29,0,9068.34482758621,TRUE,FALSE,"7,500-9,999"
5553957443,30,30,0,8795.63333333333,TRUE,FALSE,"7,500-9,999"
5577150313,30,28,0.0333333333333333,8897.60714285714,TRUE,TRUE,"7,500-9,999"
6117666160,28,23,0.0714285714285714,8578.60869565217,TRUE,FALSE,"7,500-9,999"
6290855005,29,24,0.793103448275862,6826.54166666667,FALSE,FALSE,"5,000-7,499"
6775888955,26,17,0.5,3853.64705882353,TRUE,FALSE,"Under 5,000"
6962181067,30,30,0,10001.7333333333,TRUE,TRUE,"10,000+"
7007744171,26,24,0.846153846153846,12267.0416666667,TRUE,FALSE,"10,000+"
7086361926,30,29,0.133333333333333,9887.44827586207,TRUE,FALSE,"7,500-9,999"
8053475328,30,30,0.9,15088.8,TRUE,FALSE,"10,000+"
8253242879,19,18,0.894736842105263,6842.27777777778,FALSE,FALSE,"5,000-7,499"
8378563200,30,30,0,8856.26666666667,TRUE,FALSE,"7,500-9,999"
8583815059,30,30,0.966666666666667,7438.46666666667,FALSE,FALSE,"5,000-7,499"
8792009665,29,19,0.137931034482759,2829.36842105263,TRUE,FALSE,"Under 5,000"
8877689391,30,30,1,16305.9,FALSE,TRUE,"10,000+"
